Lux,Temperatuur,Luchtvochtigheid,Acceptabel
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,Geen,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,Geen,Ja
Geen,Geen,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,Geen,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,Geen,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
VeelHoog,WeinigLaag,WeinigHoog,Nee
WeinigHoog,WeinigLaag,WeinigHoog,Ja
VeelHoog,WeinigLaag,WeinigHoog,Nee
WeinigHoog,WeinigLaag,WeinigHoog,Ja
VeelHoog,WeinigLaag,WeinigHoog,Nee
VeelHoog,WeinigLaag,WeinigHoog,Nee
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,WeinigLaag,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,VeelHoog,Nee
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,WeinigHoog,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,Geen,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,Geen,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,Geen,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,Geen,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,Geen,Ja
Geen,WeinigLaag,WeinigLaag,Ja
